67,oracle timecard submit error,sent wednesday timecard submit error hello trying submit card get error when click submit button card cannot be submitted due error your help was notified also attached print screen with error can you help with regards senior developer
66,timecard submitting,sent friday hi trying enter won allow enter task or search for one chief officer
41,the battery is not installed properly,original message sent battery installed properly battery installed properly
32,laptop charger cable request,thursday charger cable hello guys please log charger cable provided him yesterday since he got client had version thank engineer
70,rename project pas,thursday rename hi please rename product digital id checker please anywhere thanks
41,enable access,enable hi activate sockets socket number socket number thanks
32,po,thursday november pm po good evening requested by these destined users please log installation tickets thanks please perform receipt by screen capture thanks thank administrator
70,project access,hello writing granted forecasting code acting managing forecasting absence over next thanks out thru
65,update,update hi noticed running old version while latest seems source downloads advisable upgrade patches working thinking about patches other important which happened past years normal agent software center other software well best regards senior developer
32,new purchase po,thursday february pm purchase po dear purchased lines phone phone number please log installation kind regards administrator
56,snow permissions lost,sent monday july hello please be advised below thank you kind regards analyst ext hub sent monday july re hello can you please ensure re added snow fulfiller asap thanks sent july re hi thanks for if fundamental changes being made could prevent members managing calls logged then would ask you make myself aware proposed changes before happen we have review assess then let relevant members our teams know change our access particular occasion restricted what we could snow prevented carrying out our tasks managing calls please let know if you require anything further please can ask you confirm when process place notify prior any changes being made thanks again gill head commercial mobile gill july wrote hello problem we have couple calls for getting different view snow we try keep everyone notified but course possible some might have missed would you please advise key need be informed we send them update we have one let know if there anything can help with best regards specialist sent thursday july re thanks please can ask if notification changing was sent out recall seeing any maybe missed would have expected be notified also have tested we knew would work for purpose we need for hence complaints myself some members thanks gill head commercial mobile gill july wrote hello thank you for getting touch with please be advised we have logged with currently awaiting for re add them skill would you please advise whether you with ll let know best regards specialist sent thursday july hi please can someone above incident for needs fixed asap allow him out work requests coming was logged with you monday believe however yet resolved would appreciate if you could look into advice when be resolved for gill head commercial mobile gill one largest multimedia publishers with award winning portfolio brands important notice including any attachments meant only for intended recipient also contain confidential privileged information if you intended recipient any reliance use disclosure or copying or attachments strictly prohibited please notify immediately by if you have received message by mistake delete attachments any views or opinions solely those author necessarily represent those or companies hereinafter referred tm tm accept liability for content or for consequences any actions taken basis information provided unless information subsequently confirmed writing although every reasonable effort made keep free viruses tm accept liability for any virus transmitted by or any attachments recipient should use up date virus checking software or address be subject interception or monitoring for operational reasons or for lawful practices parent companies registered with address one canada square canary wharf one largest multimedia publishers with award winning portfolio brands important notice including any attachments meant only for intended recipient also contain confidential privileged information if you intended recipient any reliance use disclosure or copying or attachments strictly prohibited please notify immediately by if you have received message by mistake delete attachments any views or opinions solely those author necessarily represent those or companies hereinafter referred tm tm accept liability for content or for consequences any actions taken basis information provided unless information subsequently confirmed writing although every reasonable effort made keep free viruses tm accept liability for any virus transmitted by or any attachments recipient should use up date virus checking software or address be subject interception or monitoring for operational reasons or for lawful practices parent companies registered with address one canada square canary wharf one largest multimedia publishers with award winning portfolio brands
68,oracle fusion android app,july android app hello travelling shortly android app please provide thank senior analyst
32,new purchase po,friday july purchase po dear purchased tv please log allocation please take consideration mandatory receipts section order receive item ordered how video please explorer kind regards administrator
66,duplication error,duplication error hi please thank kind regards pm duplication error hi guys please help out receive error duplicate kind regards administrator
32,leaver inventory update monitor retrieval,wednesday maternity leave hello frequent person leaves maternity leave raised hardware retrieve hardware remains gets lost while moved by other latest discovered today starter told monitor his number device assigned informed after maternity leave type incidents create several problems devices monitors lost misplaced after person returns additional hardware despite assigned name while person maternity monitor since possession cannot reassigned other users closet monitor belongs cannot provide location presence which create other issues please log monitor retrieval kind regards engineer ext
40,leaver notification,wednesday pm leaver hi please assist changes addresses must replaced let thank wednesday leaver due leaving details given reason leaving resignation holiday leave balance job title test lead please review position needs vacancy posted regards note mailbox receive messages
68,planned absence view per team,pm planned absence view per hello please related issues single charge logging tickets assigning appropriate resolution teams please call thank regards planned absence view per dear advise planned absence report view members please grand yet best regards technical leader
74,printer supplies,printer supplies hello make order printer supplies printer floor color laserjet pro unfortunately supplier procedure talked she told she never made order she more information please help
40,new starter,tuesday pm hi please fill starting further assistance needed side let thank
67,oracle services is unavailable,sent monday unavailable dear trying submit for past period receiving message below cannot perform action submit please advise best regards senior software developer
68,oracle issue for time sheet,sent tuesday issue for sheet hi please rise ticket kind regards analyst en sent tuesday issue for sheet hi dear colleagues was trying resubmit some there one generates following error card period could you please advise thanks head testing
51,contact mail user accounts creation,tool ids hi guys please create thanks wednesday pm re tool ids also same director water street floor ny dial ext fax tuesday pm tool ids hi create tool ids also tool id forgot ask previously director water street floor ny dial ext fax information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete
89,sensors electronics,sensors electronics how got design lead ext wednesday october sensors electronics dear mr pleasure invite sensors electronics munich germany agenda attached event aims bringing strategic leaders technical experts under single roof share ideas insights advances please let interested attending recommend experts benefit topics include willing leverage speaking opportunities next thank beforehand feedback kind regards head phone information contained confidential intended individual entity named privileged unauthorized review disclosure prohibited intended recipient please immediately stating received error then please delete thank link
26,details needed on virtual mapping configured,hi ask every virtual mapping configured compare recently added host side thanks design lead
58,leaver mobile phone center,leaver mobile phone center hi had mobile subscription plan available mobile number note mailbox receive messages
19,account,friday pm hi please thank
73,close access for to area,thursday october pm please close area hi please close physical area regards officer
46,wants to access,tuesday pm wants bb testing documentation accept decline information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed
68,cancelled po with receipt and invoice attached,sent friday cancelled po with receipt invoice attached hi guys can you please check one something we never seen before you should be able cancel po receipts we tried locate receipt however we cannot find kind regards
4,project access request shared mailbox list,needs hi guys joining please resources per thanks
68,oracle report not working,report working hello while trying run report shared custom report does return info takes lot process generates error attached same behavior with secured report absence report shared custom could you please investigate with high priority thank you lead
4,account,pm hi role thank
32,transfer hardware allocation,wednesday pm re leaver form hello completed much attached probably more fill by assume hardware return her guessing hardware transfer also possible probably relevant question kind regards head ext wednesday pm re leaver form hello please advised attached transfer form needs filled cases by both once has filled by both parties please return best regards specialist ext hub wednesday re leaver form hi valid leaver form fill please process change kind regards head ext wednesday re leaver form hi usual terms intercompany transfer person treated leaver employer entity joiner terms accesses yesterday regarding her leave added made talking about transfer taken consideration terms accesses please advise hoe form treated since visibility area thank lead wednesday re leaver form hi transferring contract changes her tools etc form about removing please right approach person transferring thought change regards head ext tuesday pm leaver form
36,working,since yesterday cannot access with credentials
46,access problems,access problems hi having problems accessing site start however getting around by making individual requests access areas need have meaning get bottom though believe there fundamental problem with access rights for instance cannot even connect one receive message every happens with most areas want get access work connect via if makes any difference please can you take look there something blocking use whole site thanks senior infrastructure architect
87,for missing contacts,sent monday december for contacts hi please know today morning contacts groups disappeared for attached print screen mention can old conversations can search send employees best regards engineer information confidential
32,windows dual boot,thursday dual boot dear machine special requirements by policies follow together dual boot installation thanks
40,new starter,friday pm re hi please attached additional infos required please let best regards test lead mob zone thursday hello please fill date
51,cannot to,pm cannot hi tried instructed please assist thank senior
46,link to delivery manager issues,hello could you check again if you can access job descriptions documents again seems documents were checked out you should be able access them please use following link best regards engineer en sent tuesday march link manager hi when click links sent by get error can you please confirm have appropriate access thanks sent tuesday march link manager link manager descriptions view be regards
63,,hi keeps cpu usage br
68,direct reports missing time,wednesday july pm fwd please action reports hello please help left ago thanks begin forwarded date july pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days
